record_id,plot_id,farm_id,crop,state,year,season,date,chemical_name,chemical_type,chemical_category,application_rate,unit,application_method,weather_at_application,temperature_c,notes
CHEM-0027,plot-001a,farm-001,Rice,Punjab,2025,Kharif,2025-08-26,Borax,fertilizer,micronutrient,7.4,kg/ha,drip,cloudy,21.9,
CHEM-0028,plot-001a,farm-001,Rice,Punjab,2025,Kharif,2025-09-15,Glyphosate 41SL,pesticide,herbicide,2031.4,ml/ha,foliar spray,evening calm,32.5,
CHEM-0029,plot-001a,farm-001,Rice,Punjab,2025,Kharif,2025-08-26,Imidacloprid 17.8SL,pesticide,insecticide,87.3,ml/ha,foliar spray,clear morning,25.1,
CHEM-0030,plot-001a,farm-001,Rice,Punjab,2025,Kharif,2025-09-06,Pretilachlor 50EC,pesticide,herbicide,779.4,ml/ha,power sprayer,cloudy,26.0,
CHEM-0031,plot-001a,farm-001,Rice,Punjab,2026,Kharif,2026-05-02,Borax,fertilizer,micronutrient,13.1,kg/ha,broadcast,clear,38.5,
CHEM-0032,plot-001a,farm-001,Rice,Punjab,2026,Kharif,2026-08-16,NPK 20:20:0,fertilizer,complex,70.0,kg/ha,band,overcast,38.0,
CHEM-0033,plot-001a,farm-001,Rice,Punjab,2026,Kharif,2026-09-09,Glyphosate 41SL,pesticide,herbicide,1503.2,ml/ha,drone,cloudy,28.8,
CHEM-0034,plot-001b,farm-001,Wheat,Punjab,2020,Rabi,2020-12-07,Borax,fertilizer,micronutrient,6.5,kg/ha,broadcast,clear,35.0,
CHEM-0035,plot-001b,farm-001,Wheat,Punjab,2020,Rabi,2020-11-02,Ammonium Sulphate,fertilizer,nitrogen,148.6,kg/ha,broadcast,cloudy,21.4,
CHEM-0036,plot-001b,farm-001,Wheat,Punjab,2020,Rabi,2020-11-13,DAP (18-46-0),fertilizer,phosphorus,83.8,kg/ha,broadcast,cloudy,31.6,
CHEM-0037,plot-001b,farm-001,Wheat,Punjab,2020,Rabi,2020-12-09,Ammonium Sulphate,fertilizer,nitrogen,145.2,kg/ha,band,light rain,24.8,
CHEM-0038,plot-001b,farm-001,Wheat,Punjab,2020,Rabi,2020-02-15,Lambda Cyhalothrin 5EC,pesticide,insecticide,501.5,ml/ha,power sprayer,clear morning,22.1,
CHEM-0039,plot-001b,farm-001,Wheat,Punjab,2020,Rabi,2020-01-17,Imidacloprid 17.8SL,pesticide,insecticide,88.8,ml/ha,power sprayer,clear morning,36.9,
CHEM-0040,plot-001b,farm-001,Wheat,Punjab,2021,Rabi,2021-11-15,NPK 20:20:0,fertilizer,complex,82.2,kg/ha,foliar,clear,33.4,
CHEM-0041,plot-001b,farm-001,Wheat,Punjab,2021,Rabi,2021-11-09,Ammonium Sulphate,fertilizer,nitrogen,126.2,kg/ha,broadcast,clear,34.8,
CHEM-0042,plot-001b,farm-001,Wheat,Punjab,2021,Rabi,2021-01-23,Carbendazim 50WP,pesticide,fungicide,320.4,g/ha,power sprayer,clear morning,33.0,
CHEM-0043,plot-001b,farm-001,Wheat,Punjab,2022,Rabi,2022-11-03,Borax,fertilizer,micronutrient,7.5,kg/ha,drip,light rain,20.9,
CHEM-0044,plot-001b,farm-001,Wheat,Punjab,2022,Rabi,2022-12-06,SSP (Single Super Phosphate),fertilizer,phosphorus,177.1,kg/ha,drip,overcast,31.2,
CHEM-0045,plot-001b,farm-001,Wheat,Punjab,2022,Rabi,2022-11-18,DAP (18-46-0),fertilizer,phosphorus,53.8,kg/ha,broadcast,light rain,31.7,
CHEM-0046,plot-001b,farm-001,Wheat,Punjab,2022,Rabi,2022-02-12,Glyphosate 41SL,pesticide,herbicide,1691.2,ml/ha,foliar spray,cloudy,25.4,
CHEM-0047,plot-001b,farm-001,Wheat,Punjab,2023,Rabi,2023-12-20,DAP (18-46-0),fertilizer,phosphorus,67.7,kg/ha,band,cloudy,37.3,
CHEM-0048,plot-001b,farm-001,Wheat,Punjab,2023,Rabi,2023-11-06,MOP (0-0-60),fertilizer,potassium,74.1,kg/ha,foliar,overcast,36.0,
CHEM-0049,plot-001b,farm-001,Wheat,Punjab,2023,Rabi,2023-03-04,Mancozeb 75WP,pesticide,fungicide,1900.2,g/ha,drone,clear morning,35.7,
CHEM-0050,plot-001b,farm-001,Wheat,Punjab,2023,Rabi,2023-02-12,Mancozeb 75WP,pesticide,fungicide,1799.4,g/ha,power sprayer,clear morning,25.6,
CHEM-0051,plot-001b,farm-001,Wheat,Punjab,2023,Rabi,2023-02-28,Mancozeb 75WP,pesticide,fungicide,2097.7,g/ha,foliar spray,cloudy,27.6,
CHEM-0052,plot-001b,farm-001,Wheat,Punjab,2024,Rabi,2024-12-01,Zinc Sulphate,fertilizer,micronutrient,20.2,kg/ha,broadcast,light rain,23.6,
CHEM-0053,plot-001b,farm-001,Wheat,Punjab,2024,Rabi,2024-12-24,Ammonium Sulphate,fertilizer,nitrogen,155.8,kg/ha,foliar,overcast,32.1,
CHEM-0054,plot-001b,farm-001,Wheat,Punjab,2024,Rabi,2024-11-09,DAP (18-46-0),fertilizer,phosphorus,69.3,kg/ha,broadcast,overcast,20.0,
CHEM-0055,plot-001b,farm-001,Wheat,Punjab,2024,Rabi,2024-11-22,NPK 20:20:0,fertilizer,complex,81.9,kg/ha,foliar,light rain,33.3,
CHEM-0056,plot-001b,farm-001,Wheat,Punjab,2024,Rabi,2024-02-13,Chlorpyrifos 20EC,pesticide,insecticide,2666.9,ml/ha,power sprayer,evening calm,24.0,Heavy dose due to severe stem borer infestation
CHEM-0057,plot-001b,farm-001,Wheat,Punjab,2025,Rabi,2025-11-20,Zinc Sulphate,fertilizer,micronutrient,20.2,kg/ha,foliar,overcast,31.0,
CHEM-0058,plot-001b,farm-001,Wheat,Punjab,2025,Rabi,2025-12-15,Ammonium Sulphate,fertilizer,nitrogen,132.6,kg/ha,drip,overcast,33.5,
CHEM-0059,plot-001b,farm-001,Wheat,Punjab,2025,Rabi,2025-11-22,Borax,fertilizer,micronutrient,12.9,kg/ha,broadcast,light rain,30.3,
CHEM-0060,plot-001b,farm-001,Wheat,Punjab,2025,Rabi,2025-01-22,Propiconazole 25EC,pesticide,fungicide,437.4,ml/ha,power sprayer,clear morning,34.9,
CHEM-0061,plot-001b,farm-001,Wheat,Punjab,2025,Rabi,2025-01-16,Lambda Cyhalothrin 5EC,pesticide,insecticide,307.3,ml/ha,foliar spray,cloudy,28.6,
CHEM-0062,plot-001b,farm-001,Wheat,Punjab,2025,Rabi,2025-02-16,Mancozeb 75WP,pesticide,fungicide,2577.5,g/ha,drone,clear morning,24.4,
CHEM-0063,plot-001b,farm-001,Wheat,Punjab,2026,Rabi,2026-11-25,Ammonium Sulphate,fertilizer,nitrogen,171.6,kg/ha,drip,cloudy,23.5,
CHEM-0064,plot-001b,farm-001,Wheat,Punjab,2026,Rabi,2026-11-28,Borax,fertilizer,micronutrient,5.5,kg/ha,broadcast,overcast,22.7,
CHEM-0065,plot-001b,farm-001,Wheat,Punjab,2026,Rabi,2026-12-25,Borax,fertilizer,micronutrient,11.7,kg/ha,drip,overcast,36.6,
CHEM-0066,plot-001b,farm-001,Wheat,Punjab,2026,Rabi,2026-12-15,Borax,fertilizer,micronutrient,14.0,kg/ha,foliar,cloudy,36.8,
CHEM-0067,plot-001b,farm-001,Wheat,Punjab,2026,Rabi,2026-01-09,Pretilachlor 50EC,pesticide,herbicide,793.8,ml/ha,drone,clear morning,33.4,
CHEM-0068,plot-001b,farm-001,Wheat,Punjab,2026,Rabi,2026-02-18,Mancozeb 75WP,pesticide,fungicide,1907.6,g/ha,foliar spray,clear morning,24.4,
CHEM-0069,plot-001c,farm-001,Rice,Punjab,2020,Kharif,2020-05-14,MOP (0-0-60),fertilizer,potassium,65.3,kg/ha,drip,light rain,30.9,
CHEM-0070,plot-001c,farm-001,Rice,Punjab,2020,Kharif,2020-08-13,Zinc Sulphate,fertilizer,micronutrient,10.9,kg/ha,broadcast,overcast,29.5,
CHEM-0071,plot-001c,farm-001,Rice,Punjab,2020,Kharif,2020-08-28,SSP (Single Super Phosphate),fertilizer,phosphorus,129.9,kg/ha,drip,cloudy,29.8,
CHEM-0072,plot-001c,farm-001,Rice,Punjab,2020,Kharif,2020-09-11,Glyphosate 41SL,pesticide,herbicide,2228.5,ml/ha,drone,evening calm,24.6,
CHEM-0073,plot-001c,farm-001,Rice,Punjab,2020,Kharif,2020-06-13,"2,4-D Sodium Salt 80WP",pesticide,herbicide,959.8,g/ha,foliar spray,clear morning,32.3,
CHEM-0074,plot-001c,farm-001,Rice,Punjab,2021,Kharif,2021-07-13,Borax,fertilizer,micronutrient,6.8,kg/ha,foliar,cloudy,29.1,
CHEM-0075,plot-001c,farm-001,Rice,Punjab,2021,Kharif,2021-08-09,SSP (Single Super Phosphate),fertilizer,phosphorus,176.1,kg/ha,drip,light rain,36.7,
CHEM-0076,plot-001c,farm-001,Rice,Punjab,2021,Kharif,2021-06-12,Chlorpyrifos 20EC,pesticide,insecticide,2123.5,ml/ha,knapsack,evening calm,23.1,
CHEM-0077,plot-001c,farm-001,Rice,Punjab,2021,Kharif,2021-07-07,Chlorpyrifos 20EC,pesticide,insecticide,2131.3,ml/ha,foliar spray,evening calm,24.4,
CHEM-0078,plot-001c,farm-001,Rice,Punjab,2022,Kharif,2022-06-15,Borax,fertilizer,micronutrient,11.7,kg/ha,foliar,light rain,23.4,
CHEM-0079,plot-001c,farm-001,Rice,Punjab,2022,Kharif,2022-06-10,DAP (18-46-0),fertilizer,phosphorus,88.9,kg/ha,broadcast,clear,38.6,
CHEM-0080,plot-001c,farm-001,Rice,Punjab,2022,Kharif,2022-07-03,Glyphosate 41SL,pesticide,herbicide,2095.0,ml/ha,knapsack,clear morning,33.2,
CHEM-0081,plot-001c,farm-001,Rice,Punjab,2022,Kharif,2022-06-26,Carbendazim 50WP,pesticide,fungicide,462.6,g/ha,foliar spray,cloudy,30.5,
CHEM-0082,plot-001c,farm-001,Rice,Punjab,2022,Kharif,2022-08-01,Propiconazole 25EC,pesticide,fungicide,427.6,ml/ha,drone,cloudy,23.7,
CHEM-0083,plot-001c,farm-001,Rice,Punjab,2023,Kharif,2023-08-06,Borax,fertilizer,micronutrient,12.1,kg/ha,foliar,overcast,29.3,
CHEM-0084,plot-001c,farm-001,Rice,Punjab,2023,Kharif,2023-06-27,Ammonium Sulphate,fertilizer,nitrogen,72.6,kg/ha,broadcast,light rain,37.6,
CHEM-0085,plot-001c,farm-001,Rice,Punjab,2023,Kharif,2023-08-11,NPK 20:20:0,fertilizer,complex,105.0,kg/ha,broadcast,overcast,37.0,
CHEM-0086,plot-001c,farm-001,Rice,Punjab,2023,Kharif,2023-08-11,"2,4-D Sodium Salt 80WP",pesticide,herbicide,606.1,g/ha,power sprayer,evening calm,33.2,
CHEM-0087,plot-001c,farm-001,Rice,Punjab,2024,Kharif,2024-06-03,Urea (46-0-0),fertilizer,nitrogen,116.2,kg/ha,band,overcast,29.8,
CHEM-0088,plot-001c,farm-001,Rice,Punjab,2024,Kharif,2024-08-15,NPK 20:20:0,fertilizer,complex,101.4,kg/ha,broadcast,clear,25.9,
CHEM-0089,plot-001c,farm-001,Rice,Punjab,2024,Kharif,2024-07-22,Zinc Sulphate,fertilizer,micronutrient,20.4,kg/ha,foliar,overcast,31.1,
CHEM-0090,plot-001c,farm-001,Rice,Punjab,2024,Kharif,2024-08-12,Glyphosate 41SL,pesticide,herbicide,2994.9,ml/ha,drone,cloudy,26.9,
CHEM-0091,plot-001c,farm-001,Rice,Punjab,2024,Kharif,2024-07-11,Mancozeb 75WP,pesticide,fungicide,1681.0,g/ha,foliar spray,evening calm,30.6,
CHEM-0092,plot-001c,farm-001,Rice,Punjab,2025,Kharif,2025-08-09,MOP (0-0-60),fertilizer,potassium,39.6,kg/ha,foliar,clear,36.7,
CHEM-0093,plot-001c,farm-001,Rice,Punjab,2025,Kharif,2025-06-10,Ammonium Sulphate,fertilizer,nitrogen,65.9,kg/ha,broadcast,cloudy,25.5,
CHEM-0094,plot-001c,farm-001,Rice,Punjab,2025,Kharif,2025-06-21,Urea (46-0-0),fertilizer,nitrogen,118.7,kg/ha,drip,clear,37.5,
CHEM-0095,plot-001c,farm-001,Rice,Punjab,2025,Kharif,2025-08-11,Ammonium Sulphate,fertilizer,nitrogen,82.9,kg/ha,band,clear,25.0,
CHEM-0096,plot-001c,farm-001,Rice,Punjab,2025,Kharif,2025-09-16,Imidacloprid 17.8SL,pesticide,insecticide,178.7,ml/ha,foliar spray,evening calm,32.1,
CHEM-0097,plot-001c,farm-001,Rice,Punjab,2025,Kharif,2025-08-03,Chlorpyrifos 20EC,pesticide,insecticide,1227.6,ml/ha,knapsack,clear morning,30.9,
CHEM-0098,plot-001c,farm-001,Rice,Punjab,2026,Kharif,2026-08-15,NPK 20:20:0,fertilizer,complex,106.5,kg/ha,drip,light rain,37.2,
CHEM-0099,plot-001c,farm-001,Rice,Punjab,2026,Kharif,2026-05-20,Zinc Sulphate,fertilizer,micronutrient,14.6,kg/ha,broadcast,cloudy,32.5,
CHEM-0100,plot-001c,farm-001,Rice,Punjab,2026,Kharif,2026-06-08,Ammonium Sulphate,fertilizer,nitrogen,96.2,kg/ha,band,clear,23.1,
CHEM-0101,plot-001c,farm-001,Rice,Punjab,2026,Kharif,2026-09-10,"2,4-D Sodium Salt 80WP",pesticide,herbicide,844.7,g/ha,foliar spray,clear morning,26.6,
CHEM-0102,plot-001c,farm-001,Rice,Punjab,2026,Kharif,2026-09-03,Carbendazim 50WP,pesticide,fungicide,425.7,g/ha,knapsack,cloudy,34.6,
CHEM-0103,plot-002a,farm-002,Rice,Karnataka,2020,Kharif,2020-06-21,NPK 20:20:0,fertilizer,complex,85.5,kg/ha,band,light rain,36.5,
CHEM-0104,plot-002a,farm-002,Rice,Karnataka,2020,Kharif,2020-07-20,DAP (18-46-0),fertilizer,phosphorus,53.0,kg/ha,foliar,overcast,22.5,
CHEM-0105,plot-002a,farm-002,Rice,Karnataka,2020,Kharif,2020-07-17,Ammonium Sulphate,fertilizer,nitrogen,99.0,kg/ha,drip,overcast,21.6,
CHEM-0106,plot-002a,farm-002,Rice,Karnataka,2020,Kharif,2020-07-20,Urea (46-0-0),fertilizer,nitrogen,142.3,kg/ha,foliar,clear,21.8,
CHEM-0107,plot-002a,farm-002,Rice,Karnataka,2020,Kharif,2020-08-19,Chlorpyrifos 20EC,pesticide,insecticide,2499.4,ml/ha,foliar spray,clear morning,29.5,
CHEM-0108,plot-002a,farm-002,Rice,Karnataka,2020,Kharif,2020-07-19,"2,4-D Sodium Salt 80WP",pesticide,herbicide,958.0,g/ha,drone,evening calm,35.0,
CHEM-0109,plot-002a,farm-002,Rice,Karnataka,2020,Kharif,2020-09-11,Imidacloprid 17.8SL,pesticide,insecticide,136.4,ml/ha,power sprayer,evening calm,23.7,
CHEM-0110,plot-002a,farm-002,Rice,Karnataka,2021,Kharif,2021-08-10,SSP (Single Super Phosphate),fertilizer,phosphorus,141.2,kg/ha,drip,clear,29.1,
CHEM-0111,plot-002a,farm-002,Rice,Karnataka,2021,Kharif,2021-05-25,SSP (Single Super Phosphate),fertilizer,phosphorus,125.2,kg/ha,drip,clear,33.2,
CHEM-0112,plot-002a,farm-002,Rice,Karnataka,2021,Kharif,2021-07-17,"2,4-D Sodium Salt 80WP",pesticide,herbicide,706.6,g/ha,power sprayer,evening calm,34.1,
CHEM-0113,plot-002a,farm-002,Rice,Karnataka,2021,Kharif,2021-07-09,"2,4-D Sodium Salt 80WP",pesticide,herbicide,880.0,g/ha,knapsack,cloudy,29.0,
CHEM-0114,plot-002a,farm-002,Rice,Karnataka,2021,Kharif,2021-07-23,"2,4-D Sodium Salt 80WP",pesticide,herbicide,560.7,g/ha,knapsack,cloudy,30.8,
CHEM-0115,plot-002a,farm-002,Rice,Karnataka,2022,Kharif,2022-05-15,Zinc Sulphate,fertilizer,micronutrient,11.4,kg/ha,broadcast,cloudy,30.0,
CHEM-0116,plot-002a,farm-002,Rice,Karnataka,2022,Kharif,2022-07-14,Ammonium Sulphate,fertilizer,nitrogen,85.6,kg/ha,drip,overcast,24.9,
CHEM-0117,plot-002a,farm-002,Rice,Karnataka,2022,Kharif,2022-06-28,MOP (0-0-60),fertilizer,potassium,49.2,kg/ha,broadcast,light rain,35.5,
CHEM-0118,plot-002a,farm-002,Rice,Karnataka,2022,Kharif,2022-07-27,Zinc Sulphate,fertilizer,micronutrient,15.1,kg/ha,broadcast,light rain,34.5,
CHEM-0119,plot-002a,farm-002,Rice,Karnataka,2022,Kharif,2022-09-18,"2,4-D Sodium Salt 80WP",pesticide,herbicide,932.6,g/ha,drone,cloudy,27.3,
CHEM-0120,plot-002a,farm-002,Rice,Karnataka,2022,Kharif,2022-08-28,Pretilachlor 50EC,pesticide,herbicide,750.9,ml/ha,knapsack,evening calm,25.8,
CHEM-0121,plot-002a,farm-002,Rice,Karnataka,2022,Kharif,2022-09-02,Glyphosate 41SL,pesticide,herbicide,1850.3,ml/ha,power sprayer,evening calm,29.6,
CHEM-0122,plot-002a,farm-002,Rice,Karnataka,2023,Kharif,2023-06-16,Zinc Sulphate,fertilizer,micronutrient,24.8,kg/ha,broadcast,cloudy,30.0,
CHEM-0123,plot-002a,farm-002,Rice,Karnataka,2023,Kharif,2023-08-04,SSP (Single Super Phosphate),fertilizer,phosphorus,187.0,kg/ha,drip,clear,34.4,
CHEM-0124,plot-002a,farm-002,Rice,Karnataka,2023,Kharif,2023-06-03,Zinc Sulphate,fertilizer,micronutrient,23.1,kg/ha,drip,light rain,26.8,
CHEM-0125,plot-002a,farm-002,Rice,Karnataka,2023,Kharif,2023-08-28,Glyphosate 41SL,pesticide,herbicide,2474.8,ml/ha,drone,cloudy,32.0,
CHEM-0126,plot-002a,farm-002,Rice,Karnataka,2023,Kharif,2023-06-20,"2,4-D Sodium Salt 80WP",pesticide,herbicide,936.2,g/ha,foliar spray,clear morning,32.1,
CHEM-0127,plot-002a,farm-002,Rice,Karnataka,2023,Kharif,2023-06-14,Carbendazim 50WP,pesticide,fungicide,499.4,g/ha,foliar spray,evening calm,33.3,
CHEM-0128,plot-002a,farm-002,Rice,Karnataka,2024,Kharif,2024-07-01,Borax,fertilizer,micronutrient,6.7,kg/ha,broadcast,light rain,35.9,
CHEM-0129,plot-002a,farm-002,Rice,Karnataka,2024,Kharif,2024-08-05,Ammonium Sulphate,fertilizer,nitrogen,75.1,kg/ha,band,overcast,31.3,
CHEM-0130,plot-002a,farm-002,Rice,Karnataka,2024,Kharif,2024-09-20,Lambda Cyhalothrin 5EC,pesticide,insecticide,352.5,ml/ha,knapsack,cloudy,36.6,
CHEM-0131,plot-002a,farm-002,Rice,Karnataka,2025,Kharif,2025-07-15,NPK 20:20:0,fertilizer,complex,87.7,kg/ha,foliar,clear,38.0,
CHEM-0132,plot-002a,farm-002,Rice,Karnataka,2025,Kharif,2025-06-03,Borax,fertilizer,micronutrient,14.0,kg/ha,drip,light rain,39.8,
CHEM-0133,plot-002a,farm-002,Rice,Karnataka,2025,Kharif,2025-09-28,Glyphosate 41SL,pesticide,herbicide,2535.5,ml/ha,power sprayer,clear morning,38.0,
CHEM-0134,plot-002a,farm-002,Rice,Karnataka,2025,Kharif,2025-09-19,"2,4-D Sodium Salt 80WP",pesticide,herbicide,553.3,g/ha,power sprayer,evening calm,26.7,
CHEM-0135,plot-002a,farm-002,Rice,Karnataka,2026,Kharif,2026-08-09,Ammonium Sulphate,fertilizer,nitrogen,51.5,kg/ha,broadcast,clear,38.2,
CHEM-0136,plot-002a,farm-002,Rice,Karnataka,2026,Kharif,2026-07-25,Borax,fertilizer,micronutrient,13.3,kg/ha,band,light rain,24.4,
CHEM-0137,plot-002a,farm-002,Rice,Karnataka,2026,Kharif,2026-06-21,NPK 20:20:0,fertilizer,complex,97.3,kg/ha,broadcast,clear,26.2,
CHEM-0138,plot-002a,farm-002,Rice,Karnataka,2026,Kharif,2026-07-24,Borax,fertilizer,micronutrient,5.3,kg/ha,band,clear,38.2,
CHEM-0139,plot-002a,farm-002,Rice,Karnataka,2026,Kharif,2026-07-26,Glyphosate 41SL,pesticide,herbicide,1763.5,ml/ha,power sprayer,evening calm,30.0,
CHEM-0140,plot-002a,farm-002,Rice,Karnataka,2026,Kharif,2026-08-27,Carbendazim 50WP,pesticide,fungicide,457.6,g/ha,drone,cloudy,33.9,
CHEM-0141,plot-002b,farm-002,Maize,Karnataka,2020,Kharif,2020-05-05,DAP (18-46-0),fertilizer,phosphorus,73.4,kg/ha,band,overcast,39.3,
CHEM-0142,plot-002b,farm-002,Maize,Karnataka,2020,Kharif,2020-08-01,SSP (Single Super Phosphate),fertilizer,phosphorus,109.0,kg/ha,foliar,clear,29.1,
CHEM-0143,plot-002b,farm-002,Maize,Karnataka,2020,Kharif,2020-07-04,Ammonium Sulphate,fertilizer,nitrogen,90.9,kg/ha,band,overcast,20.5,
CHEM-0144,plot-002b,farm-002,Maize,Karnataka,2020,Kharif,2020-07-21,Propiconazole 25EC,pesticide,fungicide,766.1,ml/ha,foliar spray,evening calm,35.2,
CHEM-0145,plot-002b,farm-002,Maize,Karnataka,2020,Kharif,2020-06-05,Carbendazim 50WP,pesticide,fungicide,412.3,g/ha,foliar spray,clear morning,26.9,
CHEM-0146,plot-002b,farm-002,Maize,Karnataka,2020,Kharif,2020-07-18,"2,4-D Sodium Salt 80WP",pesticide,herbicide,558.1,g/ha,knapsack,cloudy,29.3,
CHEM-0147,plot-002b,farm-002,Maize,Karnataka,2021,Kharif,2021-06-14,Zinc Sulphate,fertilizer,micronutrient,18.8,kg/ha,broadcast,overcast,32.3,
CHEM-0148,plot-002b,farm-002,Maize,Karnataka,2021,Kharif,2021-07-07,Ammonium Sulphate,fertilizer,nitrogen,52.3,kg/ha,drip,overcast,39.0,
CHEM-0149,plot-002b,farm-002,Maize,Karnataka,2021,Kharif,2021-07-18,SSP (Single Super Phosphate),fertilizer,phosphorus,109.9,kg/ha,foliar,clear,28.0,
CHEM-0150,plot-002b,farm-002,Maize,Karnataka,2021,Kharif,2021-08-03,NPK 20:20:0,fertilizer,complex,118.1,kg/ha,band,clear,21.0,
CHEM-0151,plot-002b,farm-002,Maize,Karnataka,2021,Kharif,2021-07-03,Mancozeb 75WP,pesticide,fungicide,2983.2,g/ha,knapsack,evening calm,25.5,
CHEM-0152,plot-002b,farm-002,Maize,Karnataka,2021,Kharif,2021-07-26,Mancozeb 75WP,pesticide,fungicide,1992.8,g/ha,foliar spray,cloudy,35.7,
CHEM-0153,plot-002b,farm-002,Maize,Karnataka,2022,Kharif,2022-06-04,MOP (0-0-60),fertilizer,potassium,57.0,kg/ha,broadcast,cloudy,20.3,
CHEM-0154,plot-002b,farm-002,Maize,Karnataka,2022,Kharif,2022-05-06,NPK 20:20:0,fertilizer,complex,95.3,kg/ha,foliar,clear,22.5,
CHEM-0155,plot-002b,farm-002,Maize,Karnataka,2022,Kharif,2022-06-16,Pretilachlor 50EC,pesticide,herbicide,645.5,ml/ha,drone,cloudy,30.2,
